Country,Value
Algeria,123475
Vietnam,150230
Pakistan,161396
United Arab Emirates,167597
Argentina,180512
Netherlands,182078
Venezuela,201747
Egypt,204776
Malaysia,216804
Kazakhstan,248729
Spain,269675
Thailand,295282
Turkey,298002
Ukraine,304805
Poland,317254
France,361273
Australia,373081
Italy,406307
Brazil,419754
Indonesia,433989
Mexico,443674
South Africa,460124
Saudi Arabia,464481
United Kingdom,493505
Canada,499137
South Korea,567567
Iran,571612
Germany,745384
Japan,1170715
Russia,1740776
India,2008823
United States,5433057
China,8286892
